Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
Bombus_terrertris	249	249	249	249	232	182	392962041	392962041	392962041	392962041	392626575	390882755	249	25524254	392962041	38.70	14593050	1035857	14130465.1	10	36	3.52
Genlisea_aurea	10684	10675	2600	737	57	8	43357795	43349223	24409446	11650033	2204475	698703	10684	169254	43357795	40.61	5786	1767	9329.8	2092	7435	3.42
Sciurus_vulgaris	617	615	583	542	417	195	210224203	210222746	210117532	209809742	207485553	199582550	617	17498449	210224203	39.47	6038668	187437	6987069.8	10	70	60440.20
